المادة الفعالة (Active Substance),رقم CAS,الحالة,اللون الإرشادي,التفصيل والقرار
Trichoderma asperellum (formerly T. harzianum) strain ICC012,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
"Trichoderma asperellum (formerly T. harzianum) strains ICC012, T. asperellum (f. T. viride) T-25 and Trichoderma asperellum (f. T. viride) TV-1",No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma asperellum (formerly T. viride) strain T-25,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Trichoderma asperellum (formerly T. viride) strain TV-1,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma asperellum strain T34,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Trichoderma atrobrunneum (formerly T. harzianum) strain ITEM 908,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Trichoderma atroviride (formerly T. harzianum) strain T11,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma atroviride AGR2,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma atroviride AT10,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma atroviride strain I-1237,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Trichoderma atroviride strain SC1,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Trichoderma gamsii (formerly T. viride) strain ICC080,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Triclopyr,55335-06-3,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Trifloxystrobin,141517-21-7,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Trinexapac (aka cimetacarb),104273-73-6,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Triticonazole,131983-72-7,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Valifenalate (formerly Valiphenal),283159-90-0,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Verticillium albo-atrum (formerly Verticillium dahliae) strain WCS850,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Vinegar,64-19-7,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Vitis vinifera L. seed extract (grape seed extract),No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Whey,No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Zinc phosphide,1314-84-7,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Ziram,137-30-4,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Zoxamide,156052-68-5,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
lambda-Cyhalothrin,91465-08-6,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
n-Tetradecylacetate (SCLP Acetates),No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
tau-Fluvalinate,102851-06-9,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"2,4,5-T
[2,4,5-T-trolamine]
[2,4,5-T-triethylammonium]
[2,4,5-T-isooctyl]","93-76-5
[3813-14-7]
[2008-46-0]
[25168-15-4]",محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"2,4,5-TCP (2,4,5-Trichlorophenol)",95-95-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"2,4-D ((2,4-dichlorophenoxy) acetic acid)",94-75-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Acephate,30560-19-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Acetochlor,34256-82-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Alachlor,15972-60-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Aldicarb,116-06-3,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Aldoxycarb,1646-88-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Aldrin,309-00-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Alpha hexachloro cyclohexane,[58-89-9],محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Amitraz,33089-61-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Aramite,140-57-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Atrazine,1912-24-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Bendiocarb,22781-23-3,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Benomyl,17804-35-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Beta hexachloro cyclohexane,319-85-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Binapacryl,485-31-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Bromoxynil octanoate,34681-10-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Butocarboxim,34681-10-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Butoxycarboxim,34681-23-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Camphechlor (Toxaphene),8001-35-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Captafol,2425-06-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Carbaryl,63-25-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Carbendazim,10605-21-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Carbofuran,1563-66-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Carbon disulphide (Carbon disulfide),75-15-0,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Carbosulfan,55285-14-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Chloranil,118-75-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Chlordane,57-74-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Chloropicrin,76-06-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Chlorpyrifos,2921-88-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"Cyanide Compounds
Hydrogen cyanide
[Calcium cyanide]
[Sodium cyanide]","74-90-8
[592-01-8]
[143-33-9]",محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
DDT,50-29-3,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Diazinon,333-41-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dicofol,115-32-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dicrotophos,141-66-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dieldrin,60-57-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dimefox,115-26-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dimethoate,60-51-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Dinoseb and Dinoseb salts,88-85-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Endosulfan,115-29-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Endrin,72-20-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Ethion,563-12-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Fipronil,120068-37-3,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Fluoroacetamide,640-19-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Flusilazole,85509-19-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Gamma hexachloro cyclohexane (lindane),608-73-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Heptachlor,76-44-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Hexachlorobenzene,118-74-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Hexaconazole,79983-71-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Iprodione,36734-19-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"Lead compounds
[Lead arsenate]
[Lead arsenite]","[7784-40-9]
[10031-13-7]",محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Linuron,330-55-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Mancozeb,8018-01-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Maneb,12427-38-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Methamidophos,10265-92-6,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Methomyl,16752-77-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Methoxychlor,72-43-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Methyl bromide,74-83-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Methyl isothiocyanate,556-61-6,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Mirex,2385-85-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Oxadiazon,19666-30-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"Paraquat dichloride
[Paraquat]","1910-42-5
[4685-14-7]",محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Parathion (Parathion-ethyl),56-38-2,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Parathion-methyl (emulsifiable concentrates (EC) at or above 19.5% active ingredient and dusts at or above 1.5% active ingredient),298-00-0,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Pentachlorophenol,87-86-5,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Phosphamidon,13171-21-6,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
"Phosphamidon (mixture, (E) & (Z) isomers), (soluble liquid formulations of the substance that exceed 1,000 g active ingredient/l)
[E-Phosphamidon]
[Z-Phosphamidon]","13171-21-6
[297-99-4]
[23783-98-4]",محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Procymidon,32809-16-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Procymidon (Procymidone),32809-16-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Propineb,12071-83-9,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Propoxur,114-26-1,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Tetradifon,116-29-0,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Thiram (Tetramethylthiuramdisulfide) (in formulations with benomyl and carbofuran) (Granular only),137-26-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Triazophos,24017-47-8,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Zineb,12122-67-7,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
Ziram,137-30-4,محظور وممنوع تماماً ❌,Red,قرار رقم 248 لسنة 2024م. يحظر استخدام وتداول واستيراد هذه المادة الفعالة تماماً في تركيب مستحضرات المبيدات الزراعية بدولة ليبيا.
